,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
1726,then i watched it again two sundays ago march 20th 2005 and i began to really enjoy it and this time i taped the entire thing  ,1,26,131,26,127
1727,it is a very well acted and done tv movie  ,1,10,44,10,43
1728,judith light is one of my favorite actresses and i think she does a superb job in this film  ,1,19,94,19,93
1729,i keep watching it over and over  ,1,7,35,7,34
1730,its a sad movie but very good  ,1,7,34,7,31
1731,if you have not seen this movie i definitely recommend it  ,1,11,61,11,59
1732,she is as lovely as usual this cutie  ,1,8,40,8,38
1733,still its quite interesting and entertaining to follow  ,1,8,58,8,56
1734, recommend with confidence  ,1,4,31,3,28
1735,this movie is wellbalanced with comedy and drama and i thoroughly enjoyed myself  ,1,13,84,13,82
1736,it was a riot to see hugo weaving play a sexobsessed gay real estate salesman who uses his clients houses for his trysts with the flaming darren tom hollander  ,1,29,165,29,160
1737, anyway the plot flowed smoothly and the malebonding scenes were a hoot  ,1,13,78,12,73
1738,the opening sequence of this gem is a classic and the cat n mouse games that follow are a delight to watch  ,1,22,110,22,108
1739,fans of the genre will be in heaven  ,1,8,38,8,37
1740,lange had become a great actress  ,1,6,35,6,34
1741,it looked like a wonderful story  ,1,6,35,6,34
1742,i never walked out of a movie faster  ,0,8,39,8,38
1743,i just got bored watching jessice lange take her clothes off  ,0,11,63,11,62
1744,unfortunately any virtue in this films production work was lost on a regrettable script  ,0,14,92,14,89
1745,in a word it is embarrassing  ,0,6,32,6,30
1746,exceptionally bad  ,0,2,20,2,19
1747,all in all its an insult to ones intelligence and a huge waste of money  ,0,15,75,15,73
1748,wow loved this place,1,4,24,4,20
1749,crust is not good,0,4,18,4,17
1750,not tasty and the texture was just nasty,0,8,41,8,40
1751,stopped by during the late may bank holiday off rick steve recommendation and loved it,1,15,87,15,86
1752,the selection on the menu was great and so were the prices,1,12,59,12,58
1753,now i am getting angry and i want my damn pho,0,11,46,11,45
1754,honeslty it didnt taste that fresh,0,6,37,6,34
1755,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0,22,111,22,110
1756,the fries were great too,1,5,25,5,24
1757,a great touch,1,3,14,3,13
1758,service was very prompt,1,4,24,4,23
1759,would not go back,0,4,18,4,17
1760,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0,21,99,21,98
1761,i tried the cape cod ravoli chickenwith cranberrymmmm,1,8,59,8,53
1762,i was disgusted because i was pretty sure that was human hair,0,12,62,12,61
1763,i was shocked because no signs indicate cash only,0,9,50,9,49
1764,highly recommended,1,2,19,2,18
1765,waitress was a little slow in service,0,7,38,7,37
1766,this place is not worth your time let alone vegas,0,10,51,10,49
1767,did not like at all,0,5,20,5,19
1768,the burrittos blah,0,3,19,3,18
1769,the food amazing,1,3,18,3,16
1770,service is also cute,1,4,21,4,20
1771,i could care less the interior is just beautiful,1,9,52,9,48
1772,so they performed,1,3,18,3,17
1773,thats rightthe red velvet cakeohhh this stuff is so good,1,10,67,10,56
1774, they never brought a salad we asked for,0,9,42,8,40
1775,this hole in the wall has great mexican street tacos and friendly staff,1,13,73,13,71
1776,took an hour to get our food only 4 tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0,27,141,27,139
1777,the worst was the salmon sashimi,0,6,33,6,32
1778,also there are combos like a burger fries and beer for 23 which is a decent deal,1,17,83,17,80
1779,this was like the final blow,0,6,29,6,28
1780,i found this place by accident and i could not be happier,1,12,58,12,57
1781,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0,23,115,23,113
1782,overall i like this place a lot,1,7,33,7,31
1783,the only redeeming quality of the restaurant was that it was very inexpensive,1,13,78,13,77
1784,ample portions and good prices,1,5,31,5,30
1785,poor service the waiter made me feel like i was stupid every time he came to the table,0,18,88,18,86
1786,my first visit to hiro was a delight,1,8,37,8,36
1787,service sucks,0,2,14,2,13
1788,the shrimp tender and moist,1,5,28,5,27
1789,there is not a deal good enough that would drag me into that establishment again,0,15,81,15,80
1790,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,0,28,147,28,145
1791,on a positive note our server was very attentive and provided great service,1,13,77,13,75
1792,frozen pucks of disgust with some of the worst people behind the register,0,13,75,13,73
1793,the only thing i did like was the prime rib and dessert section,1,13,64,13,63
1794,its too bad the food is so damn generic,0,9,41,9,39
1795,the burger is good beef cooked just right,1,8,43,8,41
1796,if you want a sandwich just go to any firehouse,1,10,52,10,47
1797,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,1,19,102,19,100
1798,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,1,21,98,21,97
1799,he came running after us when he realized my husband had left his sunglasses on the table,1,17,90,17,89
1800,their chow mein is so good,1,6,27,6,26
1801,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,0,18,112,18,109
1802,the portion was huge,1,4,21,4,20
1803,loved itfriendly servers great food wonderful and imaginative menu,1,9,72,9,66
1804,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,0,15,93,15,91
1805,not much seafood and like 5 strings of pasta at the bottom,0,12,59,12,58
1806,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,1,19,103,19,101
1807,the ripped banana was not only ripped but petrified and tasteless,0,11,67,11,65
1808,at least think to refill my water before i struggle to wave you over for 10 minutes,0,17,84,17,83
1809,this place receives stars for their appetizers,1,7,49,7,46
1810,the cocktails are all handmade and delicious,1,7,45,7,44
1811,wed definitely go back here again,1,6,35,6,33
1812,we are so glad we found this place,1,8,35,8,34
1813,great food and service huge portions and they give a military discount,1,12,72,12,70
1814,always a great time at dos gringos,1,7,35,7,34
1815,updatewent back for a second time and it was still just as amazing,1,13,71,13,66
1816,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0,20,98,20,97
1817,a great way to finish a great,1,7,30,7,29
1818,the deal included 5 tastings and 2 drinks and jeff went above and beyond what we expected,1,17,91,17,89
1819, really really good rice all the time,1,8,41,7,37
1820,the service was meh,0,4,20,4,19
1821,it took over 30 min to get their milkshake which was nothing more than chocolate milk,0,16,87,16,85
1822,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,0,25,128,25,124
1823,the scallop dish is quite appalling for value as well,0,10,54,10,53
1824,2 times  very bad customer service ,0,8,37,6,35
1825,the sweet potato fries were very good and seasoned well,1,10,56,10,55
1826,today is the second time ive been to their lunch buffet and it was pretty good,1,16,80,16,78
1827,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,0,23,119,23,118
1828,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,0,22,133,22,131
